/Enable X,/Enable Y,/A2 X,/A2 Y,/A1 X,/A1 Y,/A0 X,/A0 Y,/D7 X,/D7 Y,/D6 X,/D6 Y,/D5 X,/D5 Y,/D4 X,/D4 Y,/D3 X,/D3 Y,/D2 X,/D2 Y,/D1 X,/D1 Y,/D0 X,/D0 Y
7.7545638859473e-08,0.9127771894600181,7.7545638859473e-08,0,7.7545638859473e-08,1,7.7545638859473e-08,1,7.7545638859473e-08,0.000851480309174673,7.7545638859473e-08,0.0008557956852243316,7.7545638859473e-08,0.0008543193982023656,7.7545638859473e-08,0.0008695643753915933,7.7545638859473e-08,0.2162830493535366,7.7545638859473e-08,0.0008834037867144935,7.7545638859473e-08,0.0008539781360117095,7.7545638859473e-08,0.000864135393907555
7.754820623778669e-08,0.9641247557339089,7.754820623778669e-08,0,7.754820623778669e-08,1,7.754820623778669e-08,1,7.754820623778669e-08,0.001068447791700976,7.754820623778669e-08,0.001081848580195712,7.754820623778669e-08,0.001080467936250598,7.754820623778669e-08,0.001094614946925921,7.754820623778669e-08,0.327390244919017,7.754820623778669e-08,0.001099979708093552,7.754820623778669e-08,0.001073500584883588,7.754820623778669e-08,0.001090853589551459
7.755e-08,1,7.755e-08,0,7.755e-08,1,7.755e-08,1,7.755e-08,0.001051524405049361,7.755e-08,0.001068982930542108,7.755e-08,0.001072938998483588,7.755e-08,0.001073885694673791,7.755e-08,0.4049129265283692,7.755e-08,0.001088658114781323,7.755e-08,0.001063504431611138,7.755e-08,0.001071867712450547
7.755095177650154e-08,1,7.755095177650154e-08,0,7.755095177650154e-08,1,7.755095177650154e-08,1,7.755095177650154e-08,0.0007471462215933077,7.755095177650154e-08,0.0008620330976948712,7.755095177650154e-08,0.0007967579690249709,7.755095177650154e-08,0.0008580461615219256,7.755095177650154e-08,0.4449506202500121,7.755095177650154e-08,0.000879297640677055,7.755095177650154e-08,0.0007662727636363597,7.755095177650154e-08,0.0008500913013664601
7.755221169817563e-08,1,7.755221169817563e-08,0,7.755221169817563e-08,1,7.755221169817563e-08,1,7.755221169817563e-08,0.0002703424432050476,7.755221169817563e-08,0.0004891052835960439,7.755221169817563e-08,0.0003690713119159532,7.755221169817563e-08,0.0004709720875968708,7.755221169817563e-08,0.49716486287743,7.755221169817563e-08,0.0005072033875412207,7.755221169817563e-08,0.0003046668565099676,7.755221169817563e-08,0.0004573943824310766
7.75533583987136e-08,1,7.75533583987136e-08,0,7.75533583987136e-08,1,7.75533583987136e-08,1,7.75533583987136e-08,-0.0003130989112838757,7.75533583987136e-08,-3.405711971233965e-05,7.75533583987136e-08,-0.0001551450314305918,7.75533583987136e-08,-7.524385155231374e-05,7.75533583987136e-08,0.5434865950033076,7.75533583987136e-08,-6.017272563894123e-06,7.75533583987136e-08,-0.0002540835599696667,7.75533583987136e-08,-8.836418219348645e-05
7.755559960175202e-08,1,7.755559960175202e-08,0,7.755559960175202e-08,1,7.755559960175202e-08,1,7.755559960175202e-08,-0.001863088095526674,7.755559960175202e-08,-0.001552509063814163,7.755559960175202e-08,-0.001599591448382702,7.755559960175202e-08,-0.001676270958209009,7.755559960175202e-08,0.628719243975184,7.755559960175202e-08,-0.001477068607596149,7.755559960175202e-08,-0.001740287351087438,7.755559960175202e-08,-0.001678138893796889
7.755637619449823e-08,1,7.755637619449823e-08,0,7.755637619449823e-08,1,7.755637619449823e-08,1,7.755637619449823e-08,-0.002498613924721032,7.755637619449823e-08,-0.002195581542220792,7.755637619449823e-08,-0.002199961400147495,7.755637619449823e-08,-0.002365464440399818,7.755637619449823e-08,0.6563029640798488,7.755637619449823e-08,-0.002094220320401889,7.755637619449823e-08,-0.002347373044534202,7.755637619449823e-08,-0.002357558147771165
7.755792937999066e-08,1,7.755792937999066e-08,0,7.755792937999066e-08,1,7.755792937999066e-08,1,7.755792937999066e-08,-0.003798598412545894,7.755792937999066e-08,-0.003520126980509815,7.755792937999066e-08,-0.003425949271295395,7.755792937999066e-08,-0.003836020585654283,7.755792937999066e-08,0.7075170919483097,7.755792937999066e-08,-0.00334993312247209,7.755792937999066e-08,-0.00357660932494248,7.755792937999066e-08,-0.003788795450674771
7.755865224644463e-08,1,7.755865224644463e-08,0,7.755865224644463e-08,1,7.755865224644463e-08,1,7.755865224644463e-08,-0.004384191590162415,7.755865224644463e-08,-0.004121382938781554,7.755865224644463e-08,-0.003968400316029454,7.755865224644463e-08,-0.004560173194787859,7.755865224644463e-08,0.7293639958326844,7.755865224644463e-08,-0.003905070834250472,7.755865224644463e-08,-0.00411654783363238,7.755865224644463e-08,-0.004474217751899229
7.756009797935257e-08,1,7.756009797935257e-08,0,7.756009797935257e-08,1,7.756009797935257e-08,1,7.756009797935257e-08,-0.005326751020636506,7.756009797935257e-08,-0.005096306976709331,7.756009797935257e-08,-0.004778653604203384,7.756009797935257e-08,-0.005967707683031272,7.756009797935257e-08,0.7689830431662761,7.756009797935257e-08,-0.004735774329440381,7.756009797935257e-08,-0.004917412692845618,7.756009797935257e-08,-0.005735638408263198
7.756199590542152e-08,1,7.756199590542152e-08,0,7.756199590542152e-08,1,7.756199590542152e-08,1,7.756199590542152e-08,-0.005718245726974536,7.756199590542152e-08,-0.005532026130544232,7.756199590542152e-08,-0.004900762841861045,7.756199590542152e-08,-0.007080943243426071,7.756199590542152e-08,0.8131264142123202,7.756199590542152e-08,-0.004877099940560201,7.756199590542152e-08,-0.005021040297493519,7.756199590542152e-08,-0.006653545564342197
7.756383797282164e-08,1,7.756383797282164e-08,0,7.756383797282164e-08,1,7.756383797282164e-08,1,7.756383797282164e-08,-0.005070796059939277,7.756383797282164e-08,-0.004923731829965478,7.756383797282164e-08,-0.004141508968528495,7.756383797282164e-08,-0.006773019347286748,7.756383797282164e-08,0.8486417292973192,7.756383797282164e-08,-0.004128644311174716,7.756383797282164e-08,-0.004241432202380149,7.756383797282164e-08,-0.006261199259504833
7.756630131106091e-08,1,7.756630131106091e-08,0,7.756630131106091e-08,1,7.756630131106091e-08,1,7.756630131106091e-08,-0.003754516252484904,7.756630131106091e-08,-0.003651162356974227,7.756630131106091e-08,-0.002933793554792678,7.756630131106091e-08,-0.005519318434228631,7.756630131106091e-08,0.886486267045635,7.756630131106091e-08,-0.002929194333292366,7.756630131106091e-08,-0.003008053799715028,7.756630131106091e-08,-0.004957443046798233
