/BL X,/BL Y,/BL_b X,/BL_b Y,/word X,/word Y,/Q X,/Q Y,/Q_b X,/Q_b Y
1.588605764430213e-08,0.4976436781856239,1.588605764430213e-08,0.4977746513898669,1.588605764430213e-08,0,1.588605764430213e-08,0.9999637782648497,1.588605764430213e-08,4.190224399024465e-06
1.626262996033442e-08,0.4976465051308615,1.626262996033442e-08,0.4975926392745759,1.626262996033442e-08,0,1.626262996033442e-08,0.9999637643162362,1.626262996033442e-08,4.200084474480252e-06
1.683131498016721e-08,0.497646244382961,1.683131498016721e-08,0.4976265172351296,1.683131498016721e-08,0,1.683131498016721e-08,0.9999637677778532,1.683131498016721e-08,4.222047298950307e-06
1.74e-08,0.4976455102973838,1.74e-08,0.4976359850677486,1.74e-08,0,1.74e-08,0.9999637697442,1.74e-08,4.199148178613166e-06
1.74125e-08,0.5038516201862125,1.74125e-08,0.5030771887318978,1.74125e-08,0.2500000000000601,1.74125e-08,1.002804813168245,1.74125e-08,0.0004973226207453447
1.743125000000001e-08,0.5115748607247859,1.743125000000001e-08,0.4333845579259213,1.743125000000001e-08,0.6250000000000883,1.743125000000001e-08,1.003287538131466,1.743125000000001e-08,0.009517455205617767
1.745e-08,0.5681908146968949,1.745e-08,0.1874813069970662,1.745e-08,1,1.745e-08,0.9851675385914157,1.745e-08,0.01966499329069236
1.745834403201664e-08,0.5906099849594302,1.745834403201664e-08,0.09221901393623333,1.745834403201664e-08,1,1.745834403201664e-08,0.9818272972661213,1.745834403201664e-08,0.01204095968611745
1.746978211983173e-08,0.6160475123613508,1.746978211983173e-08,0.01632954449287334,1.746978211983173e-08,1,1.746978211983173e-08,0.9831651554398303,1.746978211983173e-08,0.002814520653377318
1.747877489338453e-08,0.6305710339860107,1.747877489338453e-08,-0.001103903249731255,1.747877489338453e-08,1,1.747877489338453e-08,0.9872422133671918,1.747877489338453e-08,0.0001395772010812524
1.749676044049011e-08,0.6502399468426215,1.749676044049011e-08,0.0001159727731454552,1.749676044049011e-08,1,1.749676044049011e-08,0.9930268861717683,1.749676044049011e-08,-2.265694405620899e-05
1.751252990386064e-08,0.661828923573595,1.751252990386064e-08,0.0003532835553405949,1.751252990386064e-08,1,1.751252990386064e-08,0.994600586399264,1.751252990386064e-08,7.506900088948991e-06
1.753632102087847e-08,0.6726372741620318,1.753632102087847e-08,-6.573301276285859e-05,1.753632102087847e-08,1,1.753632102087847e-08,0.9953941580000776,1.753632102087847e-08,5.286215625183849e-05
1.758390325491413e-08,0.6840953675431547,1.758390325491413e-08,-5.071050349889777e-05,1.758390325491413e-08,1,1.758390325491413e-08,0.9967134931591831,1.758390325491413e-08,3.648116387643477e-06
1.766383205125248e-08,0.6880652144829938,1.766383205125248e-08,2.255853305894702e-05,1.766383205125248e-08,1,1.766383205125248e-08,0.9970586241786545,1.766383205125248e-08,6.15079299828077e-06
1.77790081070389e-08,0.6888178421072015,1.77790081070389e-08,1.011780589894983e-05,1.77790081070389e-08,1,1.77790081070389e-08,0.997010149679858,1.77790081070389e-08,4.326009693106895e-06
1.794492158341476e-08,0.6880319604318332,1.794492158341476e-08,2.5306219663597e-06,1.794492158341476e-08,1,1.794492158341476e-08,0.9969836756523105,1.794492158341476e-08,4.832332644131023e-06
1.824966584385424e-08,0.6881085178308581,1.824966584385424e-08,5.763229562751687e-06,1.824966584385424e-08,1,1.824966584385424e-08,0.9969908840351249,1.824966584385424e-08,4.590745870942454e-06
1.88591543647332e-08,0.6882999175250634,1.88591543647332e-08,6.246879369622307e-06,1.88591543647332e-08,1,1.88591543647332e-08,0.9969410495936044,1.88591543647332e-08,4.51976623909106e-06
1.93795771823666e-08,0.6881226671724541,1.93795771823666e-08,6.069622587595257e-06,1.93795771823666e-08,1,1.93795771823666e-08,0.9969469285019199,1.93795771823666e-08,4.604120138628392e-06
1.99e-08,0.6880740126040722,1.99e-08,6.01764496423511e-06,1.99e-08,0.9999999999999338,1.99e-08,0.9969439938564678,1.99e-08,4.562938345874922e-06
1.9925e-08,0.6722850698756762,1.9925e-08,-0.009762270641329901,1.9925e-08,0.4999999999999625,1.9925e-08,0.9977560283216114,1.9925e-08,-0.0008854496715691841
1.995e-08,0.6285527189056469,1.995e-08,0.009395643945635974,1.995e-08,0,1.995e-08,0.9959674042975992,1.995e-08,-0.0002756743833394796
1.99579108555873e-08,0.6132036271429087,1.99579108555873e-08,0.02760008671549705,1.99579108555873e-08,0,1.99579108555873e-08,0.9982590284085145,1.99579108555873e-08,0.0001480760957964654
1.997110357509502e-08,0.5905904473738,1.997110357509502e-08,0.05717100635250802,1.997110357509502e-08,0,1.997110357509502e-08,0.999743878047177,1.997110357509502e-08,0.000112600805865188
1.998155844504153e-08,0.5763569214370516,1.998155844504153e-08,0.07949480340225068,1.998155844504153e-08,0,1.998155844504153e-08,0.9998389918548771,1.998155844504153e-08,7.382005263264807e-05
2e-08,0.5573598759677415,2e-08,0.1166378678506991,2e-08,0,2e-08,0.9996760707640516,2e-08,7.537332291673447e-05
2.003688310991693e-08,0.5382562506178219,2.003688310991693e-08,0.1799554588643684,2.003688310991693e-08,0,2.003688310991693e-08,0.9998181533857861,2.003688310991693e-08,6.643568758668508e-05
2.01e-08,0.5149967356849002,2.01e-08,0.2754435348873502,2.01e-08,0,2.01e-08,0.9999113244362028,2.01e-08,4.680948698235287e-05
2.016143885179581e-08,0.5081143449682506,2.016143885179581e-08,0.3435585626832554,2.016143885179581e-08,0,2.016143885179581e-08,0.9999337598087314,2.016143885179581e-08,4.105897714976113e-05
2.019215827769372e-08,0.5049601835496915,2.019215827769372e-08,0.3747742049189799,2.019215827769372e-08,0,2.019215827769372e-08,0.9999397573592829,2.019215827769372e-08,3.376721485260383e-05
2.025359712948953e-08,0.5010115234587774,2.025359712948953e-08,0.4244001693808099,2.025359712948953e-08,0,2.025359712948953e-08,0.9999528532851538,2.025359712948953e-08,2.538100186960507e-05
2.037647483308115e-08,0.4982918963746659,2.037647483308115e-08,0.478057273439786,2.037647483308115e-08,0,2.037647483308115e-08,0.999962414036773,2.037647483308115e-08,1.068949095039004e-05
2.043650217797872e-08,0.4978623041606337,2.043650217797872e-08,0.4888475495216978,2.043650217797872e-08,0,2.043650217797872e-08,0.9999631792815254,2.043650217797872e-08,7.158351148159618e-06
2.055655686777387e-08,0.4976890069904255,2.055655686777387e-08,0.495819651669843,2.055655686777387e-08,0,2.055655686777387e-08,0.9999635369442481,2.055655686777387e-08,4.887976461073899e-06
2.06036284072779e-08,0.4976659084761717,2.06036284072779e-08,0.4967906930713123,2.06036284072779e-08,0,2.06036284072779e-08,0.9999636894277795,2.06036284072779e-08,4.5276985576926e-06
